,sampleid,peak_ZT_author_declared,peak_ZT_tep_reevaluated,peak_ZT_smallT_tep_reevaluated,peak_ZT_smallT_author_declared,avg dZT on T of ZT,avg dZT on T of TEP,avg dZT on T of smallT,rms dZT on T of ZT,rms dZT on T of TEP,avg dZT/ZT on T of ZT,avg dZT/ZT on T of TEP,rms dZT/ZT on T of ZT,rms dZT/ZT on T of TEP
115,127,0.9623995776689076,0.9253429717264002,0.922023512449255,0.9623995776689076,-0.005509754210506274,-0.004497394247988225,-0.004939543543639025,0.0225002416123205,0.021951518708926004,-0.03321827414429498,-0.02885088567695184,0.115940071485329,0.10835832926837782
116,128,0.999495283864597,1.1046834520539552,1.063212807178504,0.999495283864597,-0.012075272106653472,-0.013285342912435952,-0.012075272106653472,0.018920988747822737,0.021606867651281923,-0.026699310397809116,-0.027522536963197546,0.04461241166255754,0.04528115243800025
117,129,0.616211315075335,0.4416553312537914,0.4242946530060155,0.616211315075335,0.07602659115485824,0.07636797918376237,0.07602659115485824,0.09919443239475295,0.10011358319833671,0.39986471743086494,0.39458824526650405,0.503002086313614,0.49963235603602624
118,130,0.9877036413122136,1.096679132139589,1.0846595018320204,0.9877036413122136,-0.04059403288234366,-0.04029960259940383,-0.04059403288234366,0.05429891882855892,0.0545326938428438,-0.024733693564285827,-0.017992237835598692,0.11182068847977071,0.12137918432806638
119,131,0.7303069322612203,0.7397391769165268,0.6873783115814418,0.7303069322612203,0.021828723650796123,0.021483530893276016,0.021828723650796123,0.0293378732837747,0.029049457516572747,0.07063598786020421,0.06902687453196944,0.0789483832244285,0.0778885710486348
120,132,1.0213186643835614,1.0409452971322364,1.0409452971322364,1.0213186643835614,-0.008556617066749612,-0.008668678065103793,-0.008668678065103793,0.018211938798734024,0.018291933709472557,0.12228359800436142,0.11655521142401318,0.26067106642851084,0.25190843858108036
121,133,1.2572062077883537,1.2971839154513314,1.2971839154513314,1.2572062077883537,-0.021530557930209446,-0.021799175909263273,-0.021799175909263273,0.03543519949192697,0.03556381525166753,-0.007647333294613421,-0.009473371081585968,0.0670201231338605,0.06438582935757688
122,134,1.3937155797313368,1.4319145036861154,1.4319145036861154,1.3804111013628122,-0.02543475994626811,-0.025353079401494328,-0.025353079401494328,0.035082389686058,0.03495142757639558,-0.02289789100027644,-0.023597817856778083,0.039999787665728544,0.03951280307257395
123,135,1.249110094101041,1.3724739840924611,1.3566857161265442,1.249110094101041,0.024651519004892063,0.02331456162154256,0.024651519004892063,0.04128825961724226,0.04237884440241763,0.06490554654551713,0.06370618523267155,0.08778598323687589,0.08766718986049271
124,136,1.6726349125053357,1.650133010082788,1.6213937964458311,1.6726349125053357,0.005788504790811223,0.006211709009301665,0.005788504790811223,0.015738315488954793,0.016472043572130484,0.012680134859515321,0.012856843043213122,0.04088869052520852,0.04082667451601727
125,137,0.628713210744914,0.6183485141778977,0.6183485141778977,0.628713210744914,0.004261716795558138,0.004261716795558138,0.004261716795558138,0.009443110205796178,0.009443110205796178,0.0010945556039262336,0.0010945556039262336,0.03794563720891634,0.03794563720891634
126,138,1.100674129605679,1.1361717586610622,1.1361717586610622,1.100674129605679,0.0009273911222305328,0.0008755775890002528,0.0009273911222305328,0.008868366447867567,0.008797762207894843,0.004485576388086567,0.003964593811326682,0.018901984469334384,0.01908382414969994
127,139,0.5785032194295767,0.6753960217157934,0.6753960217157934,0.5785032194295767,-0.022289537379318963,-0.023364745859430616,-0.023364745859430616,0.045514667247344695,0.046931668569439394,-0.02259968921706828,-0.023373275890203986,0.08524779630483059,0.08677675898845424
128,140,1.856573966588464,1.904057364758321,1.6416583725748548,1.856573966588464,0.07383471336295168,0.0726062178227865,0.07383471336295168,0.13590542852178591,0.13429476800580073,0.09686229973903802,0.0945512122184076,0.14841511716779626,0.14633134406407533
129,141,1.629033413284133,1.6363331210496053,1.620916596901998,1.629033413284133,0.010797562418453926,0.010675112610685798,0.010797562418453926,0.016506101653204545,0.016409880576559597,0.014656544102947982,0.014488015633534142,0.021893676136593144,0.021766022234370255
130,142,1.904624561323791,1.9249604327193084,1.9249604327193084,1.904624561323791,-0.011067133888847329,-0.010762102683701265,-0.011067133888847329,0.024263747970735487,0.02418084948445501,-0.0034367471732636616,-0.0029337084155824653,0.01854713452406934,0.018940314734853275
131,143,0.500959775,0.5098672193740557,0.5098672193740557,0.494049985,-0.010747628583743795,-0.010500687628196663,-0.010634013823324087,0.017970273931744295,0.017921093892447428,0.0025390812507097905,0.0032098422540266514,0.07463598334374129,0.07496581750065322
132,144,0.5191571910389043,0.4825002801143523,0.4808599635196299,0.5191571910389043,0.017116841990194396,0.0173769688203111,0.017116841990194396,0.020155009500576193,0.02047467825069488,0.13621835418327893,0.1355137354195555,0.1567646896351377,0.15604198719300313
133,145,0.7717408297078932,0.7927329994956973,0.7566341887824827,0.7717408297078932,0.011142609946392408,0.010698767998518148,0.011142609946392408,0.012444734014433497,0.012391786706995684,0.023524055026682724,0.022730557682904714,0.026542475006846537,0.02628879129262048
134,146,1.6352275807714902,1.596489539748679,1.596489539748679,1.6352275807714902,0.004408087702970021,0.004387638538872117,0.004408087702970021,0.011731841447144665,0.011587979466756286,0.004038745569611866,0.004133426834982831,0.010983688553255752,0.010931340898833056
135,147,0.9040424687235844,0.9168165542149808,0.9068581930984272,0.9040424687235844,0.006394737871981745,0.006250579532182322,0.006394737871981745,0.012535328095157117,0.012444003036305882,0.012040761996690326,0.011805588297429172,0.021718615340832168,0.021554660964315464
136,148,1.2699386836736537,1.2540549102654508,1.2540549102654508,1.2608791231110872,0.0004412598721731057,0.0003250812591490673,0.0003250812591490673,0.01134937266925977,0.011348008514410837,-0.0022365758266104326,-0.002356127669582089,0.029667278106162143,0.02980832797280832
137,149,1.75375,1.7531886843826352,1.7531886843826352,1.75375,0.008800183575235125,0.00869151429084964,0.008800183575235125,0.014500984308463243,0.014550164802038214,0.0060043813688024136,0.006146792712226118,0.011064272375253975,0.011487782636409247
138,150,0.8043348438538206,0.7963627421718206,0.7963627421718206,0.8043348438538206,0.0014712092361590854,0.0013806354094747255,0.0014712092361590854,0.007186942700668727,0.007201453584762395,0.0006899406492109591,0.0004450024781899501,0.011085189823781646,0.011358877743637622
139,151,1.637758089357498,1.6714359347634853,1.6714359347634853,1.6192384668188322,0.004654440204816184,0.005028589296570337,0.005021115187796828,0.05288296673213122,0.05272766123809804,0.44484493491445354,0.48442591981555033,1.32373989511696,1.408879408568627
140,152,1.8995870444339904,2.0248776948513867,1.997512038231084,1.8995870444339904,-0.05990942182454702,-0.059703159145134806,-0.05990942182454702,0.09157876209203591,0.09122459000718162,-0.04228765809797218,-0.04175868846751389,0.05804841306318524,0.05768538656059404
141,153,0.9680207321009706,0.9825037613626536,0.9632084122152568,0.9680207321009706,0.011264680060555077,0.010856158740667617,0.011264680060555077,0.016071997201250438,0.015885532792647677,0.039262236672842114,0.03835396380940004,0.06518424680525056,0.06431007291014378
142,154,0.4263767239005343,0.4348250520973687,0.4348250520973687,0.4263767239005343,0.0006538870408464645,0.0008286894894880179,0.0006538870408464645,0.009914724352154163,0.00980044643435173,0.005970861031409018,0.006507007595685977,0.030824830208412535,0.030578231291722352
143,155,0.8154412485101431,0.8303329047556395,0.8252471154369897,0.8154412485101431,0.013509677336343005,0.013061370610284584,0.013509677336343005,0.014881435371024675,0.014785828985373433,0.02441002236061336,0.023712718681654546,0.026570996926577002,0.026330940864720712
144,156,0.9926963796267972,0.9682247719669096,0.9682247719669096,0.9926963796267972,0.03237974329085042,0.10142134795813645,0.03237974329085042,0.03337009924123851,0.14341490848165092,0.03726065841243284,0.17381880415217876,0.038417914201371944,0.2691278744705563
145,157,1.4087784278872424,1.4158861982626223,1.4158861982626223,1.4087784278872424,-0.005688464260010849,-0.005688464260010849,-0.005688464260010849,0.009490449543418896,0.009490449543418896,-0.004182582738265406,-0.004182582738265406,0.006999077341457502,0.006999077341457502
146,159,0.9687517241379312,0.9699387052635604,0.953698986173289,0.9687517241379312,0.0028276025186794325,0.0030234604583705563,0.0028276025186794325,0.015549450674070963,0.015403204884661192,0.0007944570907626906,0.0010642832259993348,0.022718952320157935,0.022433994052355972
147,160,0.994247574476414,0.9384830297292956,0.92320208922899,0.994247574476414,0.03590058844315453,0.03632423584586346,0.03590058844315453,0.04285019434280579,0.04330263612362571,0.06904061136149522,0.06912551951257988,0.07295942477310664,0.072998512390299
148,161,1.1872395363140282,1.1711050900304325,1.1711050900304325,1.1872395363140282,0.018716604353728714,0.018507045732058768,0.018716604353728714,0.022918910982153824,0.022725718558545584,0.021023327554776147,0.020903175499282844,0.02406316021302428,0.023919926259153377
149,162,0.961136944347064,0.9531666106284424,0.936666034739494,0.961136944347064,0.030947855905195776,0.030331855469158567,0.030947855905195776,0.0395407312405467,0.03895599299183634,1.491330713318072,1.444091008631609,7.375078181629753,7.2551522711991305
150,163,0.6902464995338279,0.6803181692216522,0.6760850658019083,0.6902464995338279,0.00599290762898928,0.006060792245128431,0.00599290762898928,0.007717807100309365,0.007782945951508291,0.0266310135969143,0.026545151019879854,0.034046628542444,0.03392079516168469
151,164,1.1204221919472406,1.1888354502975462,1.178895582003697,1.1204221919472406,-0.007439939602390647,-0.008210731070453049,-0.007439939602390647,0.01742809837542966,0.019287254285063223,-0.003609525620186272,-0.004082250079792016,0.019938013200622377,0.02114368920041391
152,165,1.0497473995358944,1.0590021855651142,1.0590021855651142,1.0497473995358944,-0.05538743158968055,-0.05476759005620713,-0.05538743158968055,0.09812337686865777,0.09690859034917768,-0.08558125914819945,-0.0842286377024853,0.15378565519888612,0.15175982263249835
153,166,1.600716207344568,1.6155493389698166,1.6137547129411616,1.600716207344568,-0.002730324650582193,-0.002865803725500987,-0.002730324650582193,0.013484201884153977,0.013468881821837813,-0.0015604475907073383,-0.001646132123359818,0.01027382437121495,0.010241474775586823
154,167,1.4123642693110647,1.3995483100069617,1.3995483100069617,1.4123642693110647,3.851454282986146e-05,0.000578161408304219,0.000578161408304219,0.019454744614415247,0.019707943703223398,-0.00032498256331890777,0.002218167696794354,0.037896780155911206,0.03296055866007281
155,168,1.4641556255625563,1.4969098427294278,1.4969098427294278,1.4641556255625563,-0.005224734620342123,-0.006351653514976061,-0.005498541082696812,0.018758809773732645,0.019530904451270367,-0.0033715066429015183,-0.00433438869981923,0.014557740658980342,0.015083180598902875
156,169,0.1243276852209341,0.1280788021317112,0.1245083397974722,0.1243276852209341,0.00463049543964603,0.004476399708719443,0.00463049543964603,0.006102995088026851,0.0060182553720213505,0.05899216250985096,0.0574418716033272,0.07410778615614465,0.07311471743006628
157,171,0.175439,0.1684276492581864,0.1684276492581864,0.175439,0.0036091717397172193,0.0035897068796439825,0.0036091717397172193,0.007151549739707621,0.00711170553390225,0.028109019853083707,0.027817923573243024,0.05178685606587965,0.051935735385241814
158,172,1.5699579086982094,1.6815312438790668,1.6815312438790668,1.5699579086982094,-0.03163420828353076,-0.03048550564145155,-0.03163420828353076,0.05288790777020511,0.05135942162296869,-0.022813320820515057,-0.023153825255453047,0.03791097966246008,0.03797568656918124
159,173,0.1653040931123446,0.1639857206772823,0.1639857206772823,0.1653040931123446,-1.2161930352375767e-05,6.407236375467564e-06,-2.864597451912587e-06,0.000640612857699964,0.0006469798065264498,-0.00220780116065362,-0.0017174296512673774,0.011387729390288344,0.010943436839241205
160,174,0.8700990732553057,0.7790359247229345,0.7790359247229345,0.8700990732553057,0.06046050665417687,0.06500925759882055,0.06500925759882055,0.08239634305125033,0.08415943591228862,0.10310635675779575,0.11420254882255906,0.14446532167682627,0.14433346075193798
161,175,0.6460419260257566,0.6935993314708342,0.670879907703778,0.6460419260257566,-0.028458734722908937,-0.027808625736799056,-0.028458734722908937,0.0358366007526243,0.035276185200972754,-0.10197068009376033,-0.09933759837877158,0.10761299913360012,0.10565431326696723
162,176,1.3709097925522868,1.3589563817178765,1.353987475071131,1.3709097925522868,0.011696104955598117,0.01174396840341686,0.011696104955598117,0.014993188319210305,0.01497070891235069,0.014091145569758464,0.014231599042578341,0.019875265764847553,0.019919686275269504
163,177,0.0993613906145001,0.086105723043055,0.086105723043055,0.0993613906145001,0.009617278648425188,0.009498598750927423,0.009617278648425188,0.011703094867521762,0.011361701993590882,0.14368318856087808,0.14665386619253998,0.1728884625232518,0.17473269017801127
164,178,0.9809097223280344,0.984985920311826,0.984985920311826,0.9809097223280344,0.012107367633899276,0.011723168489129054,0.012107367633899276,0.03178068651346752,0.03157321994758255,0.04082901405818257,0.039960385293668604,0.07102097561583538,0.07048608697592885
165,179,0.2557604446938257,0.2624900349920415,0.2624900349920415,0.2465793020952381,0.005438251456424666,0.00569792986354211,0.005749635558804165,0.010143109428392291,0.010242667664112524,0.04016911417629591,0.015281108650011626,0.19115038230642217,0.352356500112938
166,181,1.0895078475006983,1.3216307219264662,1.3216307219264662,1.0895078475006983,-0.3118395507244903,-0.08641503861898875,-0.08641503861898875,0.6760210989868993,0.2591485840761118,-0.17019551578621483,-0.053907662406718425,0.38240292333982095,0.21575689659486175
167,183,0.8623457899636924,0.8769439792158602,0.8769439792158602,0.8623457899636924,0.014926461156096256,0.014871772075408757,0.014926461156096256,0.01895357706979282,0.018886721936866878,0.07557528745939625,0.07655369878144128,0.10462243934784776,0.10560703605540872
168,184,0.3239579811055065,0.3243344096956382,0.3243344096956382,0.3239579811055065,0.006553694128615562,0.006553694128615562,0.006553694128615562,0.00812730890157606,0.00812730890157606,0.03413803922687865,0.03413803922687865,0.040969032902958585,0.040969032902958585
169,185,0.5565824578956151,0.5431329577111191,0.5393713922357452,0.5565824578956151,0.01006686379721055,0.010028564135026596,0.01006686379721055,0.010685451712960412,0.010702474298671622,0.038704655935153306,0.038215921224928166,0.04192611196342405,0.04163701036638877
170,186,0.798445847498787,0.9242080187965188,0.9120689159984712,0.798445847498787,-0.0028980052978277793,-0.0041705555762151765,-0.0028980052978277793,0.0401098855636712,0.0414701074322286,0.05945443214072829,0.05140725502018526,0.16908426400159013,0.17688552087781065
171,187,1.4549201460564751,1.460574580449591,1.460574580449591,1.4549201460564751,0.004448289068119553,0.004417631518471117,0.004448289068119553,0.01061464662996799,0.010477419879991403,0.007632889090600716,0.007621683574334037,0.01487865777820324,0.01477500807194916
172,188,1.0776863330487425,1.0317546374620563,1.0310758180688206,1.0776863330487425,0.006773662901917928,0.006952951892897691,0.006773662901917928,0.030766886428440325,0.030654269722438614,0.0075149868486626735,0.00742573050049293,0.03343905808015492,0.033322067675204
173,189,0.8142283735101207,0.7941996022094603,0.7941996022094603,0.8082427609845546,0.010277061398253344,0.01039313402548493,0.01039313402548493,0.014021028088176894,0.01416604429068652,0.02803245560261022,0.027729994584372437,0.039280512267838706,0.03914566392855987
174,190,1.1106221222113222,1.1665132818943245,1.1645667695693798,1.1106221222113222,-0.024184424860772727,-0.02423300279038891,-0.024184424860772727,0.04854990722550063,0.04835187831061886,-0.02327167298006999,-0.023293671417709924,0.05571067520089605,0.05534026649506119
175,191,1.4717802533304214,1.452729484526618,1.452729484526618,1.4717802533304214,0.01616663423248764,-0.0006620884185226841,0.01616663423248764,0.035840542195371645,0.05273633593212858,0.01725834265565225,0.003748110724834542,0.03450478348267414,0.04538597632811637
176,192,0.149980578163982,0.052054672493936,0.052054672493936,0.149980578163982,0.06634478580132998,0.06500768132299042,0.06634478580132998,0.07003807717078264,0.06900142295572109,1.957678679238282,1.9860491820576123,1.9873727748069674,2.0199264714222434
177,193,1.7341000211182835,1.530945983369588,1.530945983369588,1.7341000211182835,0.008874844650051164,0.04041265649740189,0.008874844650051164,0.11479302307494596,0.15497038029724458,-0.06348901915273499,-0.030693489144134157,0.18431769962886246,0.19494272602477627
178,194,0.9899821227272724,1.033215318235539,1.033215318235539,0.9899821227272724,-0.004652444630074037,-0.004710433565394899,-0.004710433565394899,0.016288186591559617,0.01633150568100466,0.004350245008757712,0.004342860854258577,0.028760774533871655,0.028842525549137785
179,195,0.4016787028485756,0.311032176071349,0.2983275422580034,0.4016787028485756,0.05522036317922532,0.05777501674208553,0.05522036317922532,0.05911532468297769,0.06314459594406967,0.35492147614318365,0.3569726240453713,0.36212762452480085,0.3635999150729154
180,196,1.319094300468331,1.3158941356539609,1.3122204708748713,1.319094300468331,0.00609271161359607,0.006211736033699806,0.00609271161359607,0.011368501085932766,0.011421583953483744,0.02049290346264795,0.021620166473170513,0.03877957334290388,0.04080538698863951
181,197,0.9575956815114716,0.9498220800427318,0.9401637803745108,0.9575956815114716,0.008879506505613734,0.008742529248826212,0.008879506505613734,0.01106667531131833,0.010989252117594318,0.011491636523049744,0.011211729681516729,0.015408410317391482,0.015287172587505664
182,199,0.0824602352074975,0.1025920855742306,0.1025920855742306,0.076791781927493,-0.015241818829721573,-0.015153391862003361,-0.015153391862003361,0.017873569259590133,0.017761725040762524,-0.29154106109525185,-0.29223414327618513,0.2936379539309171,0.2940899448993769
183,200,1.0940696864111488,1.1037204802677243,1.1037204802677243,1.0940696864111488,-0.0112160822352919,-0.011163476939773022,-0.0112160822352919,0.01530167532108333,0.01525561637654701,-0.014432848981617646,-0.014518710295815418,0.019754443159406106,0.01981851115377051
184,201,1.1434646251340548,1.1458891843245107,1.1267819025543473,1.1434646251340548,0.0009251260673165706,0.0010039772709578081,0.0009251260673165706,0.01613016006156459,0.01562607968553752,4.052319760496501e-05,0.00015302760723359313,0.018104616410932615,0.01752562959946515
185,202,1.4433739453823142,1.5028127533355302,1.4687131985509674,1.4433739453823142,0.0009183696653118492,0.0006016459381469333,0.0009183696653118492,0.011128180650838137,0.011380104057258058,0.1082194185164982,0.11347504679499085,0.19521909539536988,0.20603341077031975
186,203,0.663899982,0.6582629870904284,0.6520022924331212,0.663899982,0.016832234019481307,0.016902026210569025,0.017060318381149027,0.018222137948272075,0.018170208429245424,0.06215848415338185,0.06252596840859609,0.08073209887001209,0.08003990566212353
187,204,0.0519988749610921,0.0527469698981829,0.0527469698981829,0.0519988749610921,-0.0013304519738904842,-0.0013141089457779733,-0.0013304519738904842,0.00263619401126986,0.002619870776309142,-0.03257417278690553,-0.032187286487788826,0.05737977928920169,0.05702464859564827
188,205,0.0125512726787267,0.0130171217559076,0.0128709598999437,0.0125512726787267,-5.504742704814672e-05,-5.8877427440711636e-05,-5.504742704814672e-05,0.00028513643125120544,0.00027826793016718965,0.251155195315572,0.1987687816950405,0.6675534245798996,0.670363851782936
189,206,0.383588504,0.3720894969489504,0.3720894969489504,0.383588504,0.013012852570189916,0.013327749653613122,0.013056186936726475,0.014904458835911386,0.015429599459466661,0.05277100154765286,0.05328709711120505,0.06422742668248002,0.06571658103187343
